bootstrap_index,density_crossing_radius_interpolated_mpc_h,density_crossing_radius_discrete_mpc_h,crossing_detected
4834,114.29169525617604,116.85229034325097,True
4835,111.20225521216847,111.92819281414471,True
4836,108.88866979344228,111.92819281414471,True
4837,115.33527900516735,116.85229034325097,True
4838,110.12680956144831,111.92819281414471,True
4839,109.69856624110932,111.92819281414471,True
4840,113.86992797298414,116.85229034325097,True
4841,125.18964449160971,127.3598983968242,True
4842,119.61682402334624,121.99301547856197,True
4843,116.22412212186609,116.85229034325097,True
4844,121.61129466035744,121.99301547856197,True
4845,109.96280583511124,111.92819281414471,True
4846,116.38080210684932,116.85229034325097,True
4847,105.98871827239286,107.21159431141558,True
4848,114.73487513669902,116.85229034325097,True
4849,99.8157167341126,102.6937509290598,True
4850,115.77155576525297,116.85229034325097,True
4851,121.76796800934721,121.99301547856197,True
4852,107.98180380929695,111.92819281414471,True
4853,101.69244657030346,102.6937509290598,True
4854,115.9429078405922,116.85229034325097,True
4855,119.95711316632858,121.99301547856197,True
4856,119.89313612596473,121.99301547856197,True
4857,105.60993967302039,107.21159431141558,True
4858,111.46611932172769,111.92819281414471,True
4859,102.32159605554288,102.6937509290598,True
4860,118.9716283950813,121.99301547856197,True
4861,107.44926447779515,111.92819281414471,True
4862,104.61802548982624,107.21159431141558,True
4863,114.50379775498041,116.85229034325097,True
4864,100.1076257847469,102.6937509290598,True
4865,122.80433955433541,127.3598983968242,True
4866,119.81753887505123,121.99301547856197,True
4867,110.30165520950666,111.92819281414471,True
4868,105.85180266265681,107.21159431141558,True
4869,106.88823061192106,107.21159431141558,True
4870,121.619625226022,121.99301547856197,True
4871,101.4074101807402,102.6937509290598,True
4872,113.81036472252796,116.85229034325097,True
4873,124.20116602413535,127.3598983968242,True
4874,110.9371514159692,111.92819281414471,True
4875,116.8036077485983,116.85229034325097,True
4876,121.60261784632361,121.99301547856197,True
4877,107.9199167698813,111.92819281414471,True
4878,107.59879963357874,111.92819281414471,True
4879,111.508603960156,111.92819281414471,True
4880,110.948433240302,111.92819281414471,True
4881,98.58568174569892,102.6937509290598,True
4882,102.80424314386812,107.21159431141558,True
4883,119.19286827579583,121.99301547856197,True
4884,95.36849701571639,98.36628722493359,True
4885,114.86042746713778,116.85229034325097,True
4886,112.16639509609206,116.85229034325097,True
4887,125.86931249298759,127.3598983968242,True
4888,115.36890496709299,116.85229034325097,True
4889,111.56325990229782,111.92819281414471,True
4890,112.94531751596985,116.85229034325097,True
4891,111.12125772354695,111.92819281414471,True
4892,114.26585308142123,116.85229034325097,True
4893,106.07664664608599,107.21159431141558,True
4894,121.22782339253078,121.99301547856197,True
4895,117.90899533455577,121.99301547856197,True
4896,105.95620382666569,107.21159431141558,True
4897,118.70406822661721,121.99301547856197,True
4898,105.11290139545244,107.21159431141558,True
4899,107.23856455612504,111.92819281414471,True
4900,115.29525312891442,116.85229034325097,True
4901,110.63760696655766,111.92819281414471,True
4902,115.25238446493321,116.85229034325097,True
4903,124.85671105039631,127.3598983968242,True
4904,110.6831037301855,111.92819281414471,True
4905,113.7457313941234,116.85229034325097,True
4906,122.03206720449607,127.3598983968242,True
4907,124.31500737830766,127.3598983968242,True
4908,99.24093455655613,102.6937509290598,True
4909,121.96429975596428,121.99301547856197,True
4910,112.20232910939798,116.85229034325097,True
4911,109.55669082021736,111.92819281414471,True
4912,112.53784542862094,116.85229034325097,True
4913,111.10275945823219,111.92819281414471,True
4914,126.83182832876292,127.3598983968242,True
4915,123.75634353144814,127.3598983968242,True
4916,110.98824389721165,111.92819281414471,True
4917,120.39144440767363,121.99301547856197,True
4918,122.59070876653611,127.3598983968242,True
4919,108.07823881916806,111.92819281414471,True
4920,100.04349562127042,102.6937509290598,True
4921,121.00009592397289,121.99301547856197,True
4922,117.55370394368046,121.99301547856197,True
4923,123.3414732127001,127.3598983968242,True
4924,116.97548100325702,121.99301547856197,True
4925,118.22783151538958,121.99301547856197,True
4926,125.2345241222224,127.3598983968242,True
4927,102.30347376255324,102.6937509290598,True
4928,114.09438106012541,116.85229034325097,True
4929,113.26145621041701,116.85229034325097,True
4930,100.44595276772003,102.6937509290598,True
4931,112.92154823973753,116.85229034325097,True
4932,117.0125933583543,121.99301547856197,True
4933,115.97171966078801,116.85229034325097,True
4934,120.07612967693964,121.99301547856197,True
4935,117.44981052502945,121.99301547856197,True
4936,104.97157269233959,107.21159431141558,True
4937,111.6126125842865,111.92819281414471,True
4938,114.04879310722067,116.85229034325097,True
4939,115.54654202895239,116.85229034325097,True
4940,107.52284802351078,111.92819281414471,True
4941,125.88564343282604,127.3598983968242,True
4942,115.08683234905544,116.85229034325097,True
4943,103.80962528458677,107.21159431141558,True
4944,118.88283065614348,121.99301547856197,True
4945,100.81725570006012,102.6937509290598,True
4946,107.44870195044409,111.92819281414471,True
4947,112.13620334530765,116.85229034325097,True
4948,114.54129355696509,116.85229034325097,True
