n2,k_h_mpc,Nmodes,P_raw,W2_at_Rhom,contribution_raw,contribution_clust,fraction_raw
211,0.0152114230783968,72,86225.32474376576,2.128102619217146e-07,6.1165446476685635e-12,5.974671139720754e-12,1.3932906088146277e-07
210,0.0151753342420768,96,56848.250654486845,2.2888295644673293e-07,5.7829314127217194e-12,5.579479895880179e-12,1.3172966916599675e-07
221,0.0155677107881122,192,62407.93226061921,1.027504383024283e-07,5.699948794068337e-12,5.517281348197353e-12,1.298394041565085e-07
218,0.0154616865525274,120,74472.4329528864,1.2783399105110928e-07,5.288949070918676e-12,5.146911303084109e-12,1.2047722195273586e-07
204,0.0149569727248316,48,58050.91403224528,3.542735950494536e-07,4.570201335580068e-12,4.412746404446978e-12,1.041048331705208e-07
213,0.0152833451015295,96,54469.29398878959,1.839716017741851e-07,4.453690338945161e-12,4.290160026256997e-12,1.0145082364740018e-07
230,0.0158815371920791,240,72241.94859703667,5.335752644749609e-08,4.282946314316707e-12,4.164374033322271e-12,9.756143740517407e-08
212,0.0152474264969933,72,64742.73803786117,1.9786622945749524e-07,4.2701338201019816e-12,4.1382230004636515e-12,9.726958099124806e-08
219,0.0154971085612717,96,78601.21542724193,1.1885719033175809e-07,4.152142054374762e-12,4.04649121852431e-12,9.458184095868157e-08
222,0.0156028921002978,144,65122.28011208079,9.553506310464378e-08,4.147640760017285e-12,4.02026067587776e-12,9.447930576083627e-08
214,0.0153191794885914,72,72408.81806035858,1.7105268722284332e-07,4.128574302618095e-12,4.014539177802866e-12,9.404499002265588e-08
217,0.0154261832070469,96,63598.36650265255,1.3748877305982627e-07,3.886249501803935e-12,3.764037259084089e-12,8.852506188175793e-08
216,0.0153905979619423,96,56448.83169012976,1.4787274153039412e-07,3.709885999203235e-12,3.578443562287329e-12,8.450766928404555e-08
192,0.0145103949138737,8,104205.11107402772,8.487688728179422e-07,3.2757798025248508e-12,3.2129080341679662e-12,7.46191436228984e-08
227,0.0157776219833566,120,79392.81489280485,6.638322591209293e-08,2.927972870458911e-12,2.8542137305565853e-12,6.669643300698204e-08
225,0.0157079632679489,150,54333.90470699038,7.678919766597076e-08,2.8974006586868776e-12,2.7907489952619178e-12,6.600002714376477e-08
234,0.016019042244414,216,56540.85108264097,3.987605029268988e-08,2.2546258213628805e-12,2.1748737207775004e-12,5.135822861185608e-08
226,0.0157428311538447,96,64658.54182095678,7.139688127831267e-08,2.051741437342074e-12,1.9882775428724624e-12,4.6736715597329516e-08
229,0.0158469745021616,120,57362.26249788605,5.738740365104386e-08,1.828817395724068e-12,1.7650536138895745e-12,4.1658718271114314e-08
233,0.0159847768741728,144,63446.501443448346,4.288772637179009e-08,1.8140507954359984e-12,1.7568671602736116e-12,4.1322349182182235e-08
237,0.0161214013833171,144,67350.11215302146,3.20515819904699e-08,1.4391184278266073e-12,1.3963829851726472e-12,3.2781746982377854e-08
208,0.0151028978655186,24,40093.00909855043,2.64761742796753e-07,1.1794549958775875e-12,1.1206190530338644e-12,2.686686133979455e-08
224,0.0156730178113853,48,57056.93522737179,8.258877380368959e-08,1.0471694038722616e-12,1.010463282181733e-12,2.3853521559911505e-08
245,0.0163912343724283,168,73371.10487880737,1.7901209023825174e-08,1.0215578214679674e-12,9.93711496319795e-13,2.3270114108542914e-08
241,0.0162568777262716,144,63536.92361939336,2.395333105761614e-08,1.0146139772251996e-12,9.826762024817115e-13,2.3111939950912796e-08
238,0.0161553769771321,96,72891.79186008881,2.9800845219271982e-08,9.654386697679538e-13,9.389490295730452e-13,2.1991773287993587e-08
242,0.0162905707732473,132,55294.61248480807,2.227127233676461e-08,7.52571950414182e-13,7.253515064470253e-13,1.7142872183056207e-08
228,0.0158123362651105,48,46034.32409073079,6.172164110808864e-08,6.314031178181165e-13,6.039712773256327e-13,1.4382761593468996e-08
249,0.0165244986337499,144,62470.36027332672,1.3378234690779465e-08,5.571620939694073e-13,5.393244477150346e-13,1.2691621786999712e-08
254,0.0166895826386691,192,65740.81751563054,9.295962622751365e-09,5.432214954794842e-13,5.266953397057041e-13,1.2374068232237896e-08
251,0.0165907293546507,168,58439.363768618336,1.1565303490291962e-08,5.256758715939448e-13,5.07685399497935e-13,1.1974395632858869e-08
244,0.0163577486696869,72,80350.04610719181,1.925321461636359e-08,5.156655607121579e-13,5.028300843012489e-13,1.174637028609344e-08
235,0.0160532344759414,48,61847.361128000426,3.707586112540545e-08,5.095653715898984e-13,4.930872110897183e-13,1.1607413788501667e-08
236,0.0160873540351043,72,42981.020173319885,3.447230776620742e-08,4.938849851734177e-13,4.709034466626126e-13,1.1250229521973104e-08
250,0.0165576471096601,144,58912.94046947876,1.2438783877984822e-08,4.885368894109547e-13,4.719518442403083e-13,1.1128404994725988e-08
246,0.0164246518064496,144,43966.92316211428,1.664414441431966e-08,4.878612123756841e-13,4.656690198232579e-13,1.1113013715465186e-08
243,0.0163241942781079,104,47076.90050502688,2.0707331698682122e-08,4.693659601238821e-13,4.494255666362624e-13,1.0691709486452232e-08
248,0.0164912835275357,96,63452.98951753426,1.4388638406872583e-08,4.057787208901675e-13,3.929888200840585e-13,9.243252745462798e-09
261,0.016917994196464,216,60316.58222430041,5.584035243400726e-09,3.368099209019712e-13,3.2564185041516977e-13,7.672209176584475e-09
